sic,total_companies,active_companies
0111,7,1
01110,4167,4062
0112,8,0
01120,79,59
01130,1855,1757
01140,23,17
01150,14,11
01160,95,81
01190,487,449
01210,285,269
0122,4,0
01220,76,59
0123,3,2
01230,23,13
0124,2,0
01240,238,229
0125,1,0
01250,602,570
01260,19,15
01270,72,66
01280,222,185
01290,626,597
0130,4,1
01300,933,859
0141,20,4
01410,1779,1735
0142,4,1
01420,1071,1030
01430,2595,2417
01440,80,74
01450,1246,1206
01460,532,500
01470,1486,1428
01490,1848,1702
0150,1,0
01500,9756,9335
01610,3259,3106
01621,1687,1564
01629,2638,2483
01630,607,565
01640,166,152
01700,760,721
0201,7,1
0202,2,0
02100,2878,2722
02200,956,895
02300,100,93
02400,2711,2541
03110,2390,2230
03120,913,855
03210,606,553
03220,387,357
0501,7,0
0502,2,0
05101,32,24
05102,60,54
05200,12,12
06100,1339,1190
06200,734,666
07100,97,80
07210,14,13
07290,469,419
08110,490,454
08120,369,349
08910,526,476
08920,16,14
08930,35,30
08990,1012,892
09100,3532,3095
09900,1094,999
1010,9,4
10110,813,723
10120,270,248
10130,1110,992
10200,509,447
10310,90,85
10320,662,581
10390,947,858
10410,314,282
10420,23,19
10511,269,241
10512,324,298
10519,295,267
10520,834,751
10611,163,154
10612,360,313
10620,39,36
10710,5817,5249
10720,951,843
10730,86,80
10810,38,30
10821,991,879
10822,558,480
10831,466,421
10832,1878,1702
10840,1077,979
10850,1410,1177
10860,749,634
10890,7104,6421
10910,425,397
10920,915,818
11010,2218,2029
11020,485,462
11030,487,453
11040,364,332
11050,2307,2048
11060,47,45
11070,1932,1761
1110,8,0
1120,5,1
12000,159,126
13100,312,289
1320,1,0
13200,455,395
13300,1352,1172
13910,426,386
13921,1751,1535
13922,203,180
13923,957,816
13931,181,157
13939,169,154
13940,103,95
13950,209,186
13960,473,424
13990,1895,1615
1411,9,2
14110,667,582
14120,747,662
14131,1595,1375
14132,2428,2028
14141,174,155
14142,460,402
14190,6364,5674
14200,44,38
1421,3,1
1422,1,0
14310,136,117
14390,406,345
1450,6,0
1511,1,1
15110,150,137
1512,1,0
15120,1402,1251
1513,16,4
1520,5,2
15200,631,553
1532,1,0
1533,18,5
1541,2,0
1551,4,2
1552,2,0
1571,5,1
1581,24,8
1582,2,0
1583,2,0
1584,7,3
1589,7,2
1591,2,0
1594,1,0
1596,2,0
1598,11,0
16100,755,703
16210,360,296
16220,120,103
16230,8969,8050
16240,453,416
16290,2241,2017
1711,8,4
17110,40,36
1712,13,8
17120,271,239
1713,1,1
1717,25,9
1721,10,5
17211,193,182
17219,588,548
1722,3,1
17220,564,502
1723,5,1
17230,1019,922
17240,101,89
1725,2,0
17290,618,541
1730,25,8
1740,17,2
1751,18,5
1752,2,0
1754,16,5
1760,3,0
1771,15,6
18110,145,130
18121,797,706
18129,9783,8720
18130,1752,1567
18140,359,314
18201,1161,1070
18202,609,528
18203,730,636
1821,6,0
1822,29,5
1823,11,0
1824,19,0
1910,4,2
19100,16,16
1920,4,0
19201,183,155
19209,204,173
1930,6,3
2010,24,5
20110,198,189
20120,163,151
20130,384,355
20140,455,414
20150,863,776
20160,400,366
20170,43,41
2020,1,0
20200,563,515
2030,26,6
20301,646,590
20302,117,108
2040,10,1
20411,1114,1013
20412,534,458
20420,2895,2685
2051,43,9
20510,25,24
20520,109,105
20530,427,367
20590,1631,1503
20600,76,69
21100,1439,1301
2111,1,0
2112,11,3
21200,894,810
2121,27,9
2123,19,3
2124,1,0
2125,13,4
2211,13,0
22110,319,286
2212,10,0
2213,40,1
2214,5,0
2215,11,1
22190,859,779
2221,1,0
22210,389,351
2222,171,42
22220,657,591
2223,12,3
22230,427,383
2224,3,1
2225,17,0
22290,4460,4104
2231,2,0
2232,2,0
2233,2,0
2310,1,0
23110,198,182
23120,404,368
23130,44,42
23140,157,132
23190,403,358
2320,6,2
23200,118,108
23310,92,83
23320,303,265
23410,697,649
23420,63,50
23430,63,57
23440,144,135
23490,215,202
23510,70,68
23520,31,31
23610,768,706
23620,212,195
23630,438,400
23640,28,28
23650,22,20
23690,288,259
23700,1378,1243
23910,73,67
23990,387,359
24100,842,745
2411,1,1
2412,3,0
2413,10,2
2414,3,1
2415,3,1
2416,15,8
2417,1,1
24200,839,753
2430,8,0
24310,30,25
24320,39,37
24330,160,151
24340,43,39
2441,4,2
24410,349,317
24420,242,206
24430,28,28
24440,63,59
24450,333,294
24460,19,13
2451,9,0
24510,140,125
2452,4,1
24520,206,183
24530,172,161
24540,236,216
2463,2,0
2464,1,0
2465,1,0
2466,18,1
2470,5,1
25110,5423,4850
25120,1913,1656
2513,13,4
2521,1,1
25210,241,219
2522,5,2
2523,4,2
2524,81,21
25290,304,274
25300,40,34
25400,108,100
25500,517,483
25610,1336,1199
25620,3173,2905
25710,145,122
25720,380,342
25730,1050,976
25910,80,73
25920,140,129
25930,360,328
25940,367,342
25990,9568,8711
2611,6,3
26110,1855,1683
2612,9,1
26120,537,499
2613,3,1
2614,3,0
2615,3,2
26200,1203,1102
2621,3,1
2622,1,0
2625,17,7
2626,4,1
26301,207,193
26309,478,436
2640,6,2
26400,1856,1688
2651,2,1
26511,1560,1471
26512,1190,1123
26513,121,113
26514,121,112
26520,300,271
26600,253,228
2661,6,2
2664,1,0
2666,3,1
2670,4,3
26701,421,393
26702,207,184
26800,51,46
2681,9,1
2682,1,0
2710,55,20
27110,635,588
27120,857,785
27200,376,344
2721,1,0
2722,10,2
2731,1,0
27310,96,90
2732,1,0
27320,561,512
2733,3,1
27330,121,116
27400,1279,1148
2741,1,0
2742,16,3
2744,8,4
2745,10,3
2751,27,11
27510,603,537
2752,4,3
27520,172,155
2753,4,1
2754,7,3
27900,3148,2906
2811,139,34
28110,455,404
2812,3,1
28120,270,253
28131,484,447
28132,118,103
28140,390,363
28150,357,327
2821,10,1
28210,175,162
2822,3,0
28220,945,871
28230,83,75
28240,91,81
28250,607,549
28290,1316,1210
28301,38,35
28302,467,437
2840,5,1
28410,198,180
28490,641,602
2851,14,2
2852,273,73
2861,8,4
2862,27,13
2863,1,0
2871,1,0
2872,6,3
2873,13,4
2874,15,10
2875,221,75
28910,58,50
28921,137,124
28922,71,62
28923,93,82
28930,461,407
28940,176,157
28950,94,83
28960,205,192
28990,3497,3243
29100,1340,1154
2911,8,1
2912,13,1
2913,1,0
29201,1073,916
29202,333,295
29203,328,290
2921,3,0
2922,47,14
2923,3,2
2924,55,16
2931,2,1
29310,667,584
2932,4,0
29320,2846,2519
2940,28,7
2942,1,1
2943,6,2
2952,13,1
2954,13,5
2955,3,0
2956,19,2
2960,2,0
2971,11,4
3001,2,0
3002,13,3
30110,528,468
30120,876,774
30200,305,213
30300,1162,1036
30400,40,35
30910,193,169
30920,388,353
30990,1027,899
31010,1425,1266
31020,3201,2773
31030,489,420
31090,7569,6626
3110,26,7
3130,11,4
3140,1,0
3150,5,1
3161,1,0
3162,73,13
3210,23,3
32110,31,26
32120,4159,3853
32130,527,473
3220,14,0
32200,559,521
3230,16,2
32300,2394,2158
32401,398,355
32409,2096,1914
32500,3395,3125
32910,67,63
32990,20496,18553
3310,6,1
33110,1926,1714
33120,6158,5657
33130,1039,922
33140,6136,5511
33150,2647,2411
33160,3214,2629
33170,4512,3785
33190,7567,6847
3320,21,2
33200,5708,5159
3330,2,0
3340,3,0
3410,24,7
3420,17,8
3430,18,6
3511,49,11
35110,11479,10960
3512,3,0
35120,855,784
35130,1578,1425
35140,3241,2799
3520,6,3
35210,501,469
35220,484,433
35230,826,704
3530,11,4
35300,1924,1738
3541,3,1
3542,1,0
3550,9,0
36000,1815,1674
3611,43,10
3612,38,12
3613,4,2
3614,82,16
3615,4,1
3622,3,0
3630,1,0
3640,3,0
3650,8,0
3662,1,0
3663,214,39
37000,1596,1430
3710,11,0
3720,25,2
38110,7470,6519
38120,856,777
38210,2826,2541
38220,710,646
38310,226,204
38320,2949,2565
39000,4175,3700
4010,7,2
4011,2,0
4012,2,0
4013,1,0
4020,2,1
4022,1,0
4030,1,1
4100,3,0
41100,121359,109382
41201,46504,40220
41202,105932,92493
